gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled	repatriated
1457856330																										466785										CC_BY_4_0																							BioFokus	BioFokus	Artskart_17-16_diverse		UNKNOWN				466785	466785		Olsen, K.M. mfl.	1															Notes about species;  Prøvefiskekurs.											466785	1997-09-27T02:00Z				1997	9	27												EUROPE				NO	Akershus	Enebakk		Mjær								59.717972	11.05882	300.0																																			Olsen, K.M. mfl.													Esox lucius Linnaeus, 1758								Animalia	Chordata	Actinopterygii	Esociformes	Esocidae	Esox		lucius		SPECIES							2e4cc37b-302e-4f1b-bbbb-1f674ff90e14	NO	2017-04-29T03:25Z	110.0						GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED		true	false	2346633	1	44	204	548	7662	2346628		2346633	Esox lucius	Esox		DWC_ARCHIVE	2017-04-29T03:25Z	2017-11-14T14:23Z	true
1457853329																										396832										CC_BY_4_0																							BioFokus	BioFokus	Artskart_17-16_diverse		HUMAN_OBSERVATION				396832	396832		Olsen, K.M.	1																										396832	2003-09-05T02:00Z				2003	9	5												EUROPE				NO	Akershus	Hurdal		Hurdal Verk Folkehøgskole – I blindtarm av Hurdalselva								60.45073	11.04531	100.0																																			Olsen, K.M.													Esox lucius Linnaeus, 1758								Animalia	Chordata	Actinopterygii	Esociformes	Esocidae	Esox		lucius		SPECIES							2e4cc37b-302e-4f1b-bbbb-1f674ff90e14	NO	2017-04-29T03:24Z	200.0						GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED		true	false	2346633	1	44	204	548	7662	2346628		2346633	Esox lucius	Esox		DWC_ARCHIVE	2017-04-29T03:24Z	2017-11-14T14:23Z	true
1457407466																										49C5D184-7F35-415F-B26D-C271E9803925										CC_BY_4_0			2016-12-13T15:00Z																				NINA	N	Registrering av fremmede fiskearter 2014		HUMAN_OBSERVATION			"""{""Substrate"":"""", ""Ecology"":"""", ""Redlist status"":"""", ""Relative abundance"":"""", ""Antropokor"":""1""}"""	49C5D184-7F35-415F-B26D-C271E9803925	8515		Trygve Hesthagen	1															Basert på intervjuer.																																		NO	Nord-Trøndelag	Stjørdal		Bjørgtjønna								63.521896	11.252126																																																	Esox lucius Linnaeus, 1758								Animalia	Chordata	Actinopterygii	Esociformes	Esocidae	Esox		lucius		SPECIES		gjedde					819b724f-d32a-48ac-a62a-9a3425b9b0a0	NO	2017-04-20T10:01Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COORDINATE_ROUNDED		true	false	2346633	1	44	204	548	7662	2346628		2346633	Esox lucius	Esox		DWC_ARCHIVE	2017-04-20T10:01Z	2017-09-29T16:50Z	true
1457407439																										ADF612BC-8C28-4F4D-8DEE-22F6C7EA90C6										CC_BY_4_0			2016-12-13T15:00Z																				NINA	N	Registrering av fremmede fiskearter 2014		HUMAN_OBSERVATION			"""{""Substrate"":"""", ""Ecology"":"""", ""Redlist status"":"""", ""Relative abundance"":"""", ""Antropokor"":""1""}"""	ADF612BC-8C28-4F4D-8DEE-22F6C7EA90C6	8482		Trygve Hesthagen	1															Basert på intervjuer.																																		NO	Telemark	Kragerø		Trollvann								58.784206	9.363415																																																	Esox lucius Linnaeus, 1758								Animalia	Chordata	Actinopterygii	Esociformes	Esocidae	Esox		lucius		SPECIES		gjedde					819b724f-d32a-48ac-a62a-9a3425b9b0a0	NO	2017-04-20T10:01Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COORDINATE_ROUNDED		true	false	2346633	1	44	204	548	7662	2346628		2346633	Esox lucius	Esox		DWC_ARCHIVE	2017-04-20T10:01Z	2017-09-29T16:50Z	true
1457407422																										C8058693-2236-453D-ABDB-DF669A697CCE										CC_BY_4_0			2016-12-13T15:00Z																				NINA	N	Registrering av fremmede fiskearter 2014		HUMAN_OBSERVATION			"""{""Substrate"":"""", ""Ecology"":"""", ""Redlist status"":"""", ""Relative abundance"":"""", ""Antropokor"":""1""}"""	C8058693-2236-453D-ABDB-DF669A697CCE	8447		Trygve Hesthagen	1															Basert på intervjuer.																																		NO	Oppland	Jevnaker		Velotjern								60.310326	10.461443																																																	Esox lucius Linnaeus, 1758								Animalia	Chordata	Actinopterygii	Esociformes	Esocidae	Esox		lucius		SPECIES		gjedde					819b724f-d32a-48ac-a62a-9a3425b9b0a0	NO	2017-04-20T10:01Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COORDINATE_ROUNDED		true	false	2346633	1	44	204	548	7662	2346628		2346633	Esox lucius	Esox		DWC_ARCHIVE	2017-04-20T10:01Z	2017-09-29T16:50Z	true
1457407421																										D77286D5-9C81-4B5C-968D-9910FDD83A4E										CC_BY_4_0			2016-12-13T15:00Z																				NINA	N	Registrering av fremmede fiskearter 2014		HUMAN_OBSERVATION			"""{""Substrate"":"""", ""Ecology"":"""", ""Redlist status"":"""", ""Relative abundance"":"""", ""Antropokor"":""1""}"""	D77286D5-9C81-4B5C-968D-9910FDD83A4E	8462		Trygve Hesthagen	1															Basert på intervjuer.																																		NO	Oppland	Sel		Meringstadvatn								61.670641	9.190282																																																	Carassius carassius (Linnaeus, 1758)								Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Carassius		carassius		SPECIES		karuss					819b724f-d32a-48ac-a62a-9a3425b9b0a0	NO	2017-04-20T10:01Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COORDINATE_ROUNDED		true	false	2366645	1	44	204	1153	7336	2366633		2366645	Carassius carassius	Carassius		DWC_ARCHIVE	2017-04-20T10:01Z	2017-09-29T16:50Z	true
1457407417																										E49B41D3-58FE-422E-BFEF-F4DC6A79D380										CC_BY_4_0			2016-12-13T15:00Z																				NINA	N	Registrering av fremmede fiskearter 2014		HUMAN_OBSERVATION			"""{""Substrate"":"""", ""Ecology"":"""", ""Redlist status"":"""", ""Relative abundance"":"""", ""Antropokor"":""1""}"""	E49B41D3-58FE-422E-BFEF-F4DC6A79D380	8469		Trygve Hesthagen	1															Basert på intervjuer.																																		NO	Nord-Trøndelag	Stjørdal		Lille Røsttjønna								63.382533	10.865999																																																	Esox lucius Linnaeus, 1758								Animalia	Chordata	Actinopterygii	Esociformes	Esocidae	Esox		lucius		SPECIES		gjedde					819b724f-d32a-48ac-a62a-9a3425b9b0a0	NO	2017-04-20T10:01Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COORDINATE_ROUNDED		true	false	2346633	1	44	204	548	7662	2346628		2346633	Esox lucius	Esox		DWC_ARCHIVE	2017-04-20T10:01Z	2017-09-29T16:50Z	true
1457407414																										F601A5E5-5036-4555-B75B-2386A4A1D25A										CC_BY_4_0			2017-04-20T11:44Z																				NINA	N	Registrering av fremmede fiskearter 2014		HUMAN_OBSERVATION			"""{""Substrate"":"""", ""Ecology"":"""", ""Redlist status"":"""", ""Relative abundance"":"""", ""Antropokor"":""1""}"""	F601A5E5-5036-4555-B75B-2386A4A1D25A	8460		Trygve Hesthagen	1															Basert på intervjuer. 2000-tallet																										2000-tallet								NO	Sør-Trøndelag	Orkdal		Sika								63.248586	9.710923																																																	Esox lucius Linnaeus, 1758								Animalia	Chordata	Actinopterygii	Esociformes	Esocidae	Esox		lucius		SPECIES		gjedde					819b724f-d32a-48ac-a62a-9a3425b9b0a0	NO	2017-04-20T10:01Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COORDINATE_ROUNDED		true	false	2346633	1	44	204	548	7662	2346628		2346633	Esox lucius	Esox		DWC_ARCHIVE	2017-04-20T10:01Z	2017-09-29T16:50Z	true
1457407403																										CE0840B8-62FF-4A72-BA4C-5669239310CC										CC_BY_4_0			2016-12-13T15:00Z																				NINA	N	Registrering av fremmede fiskearter 2014		HUMAN_OBSERVATION			"""{""Substrate"":"""", ""Ecology"":"""", ""Redlist status"":"""", ""Relative abundance"":"""", ""Antropokor"":""1""}"""	CE0840B8-62FF-4A72-BA4C-5669239310CC	8439		Trygve Hesthagen	1															Basert på intervjuer.												2014-01-01T01:00Z				2014																		NO	Rogaland	Haugesund		Løkavatn								59.405268	5.331299																																																	Esox lucius Linnaeus, 1758								Animalia	Chordata	Actinopterygii	Esociformes	Esocidae	Esox		lucius		SPECIES		gjedde					819b724f-d32a-48ac-a62a-9a3425b9b0a0	NO	2017-04-20T10:01Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COORDINATE_ROUNDED		true	false	2346633	1	44	204	548	7662	2346628		2346633	Esox lucius	Esox		DWC_ARCHIVE	2017-04-20T10:01Z	2017-09-29T16:50Z	true
1457407402																										AA237ED6-A35A-4F4C-9F92-D0873E5D235E										CC_BY_4_0			2016-12-13T15:00Z																				NINA	N	Registrering av fremmede fiskearter 2014		HUMAN_OBSERVATION			"""{""Substrate"":"""", ""Ecology"":"""", ""Redlist status"":"""", ""Relative abundance"":"""", ""Antropokor"":""1""}"""	AA237ED6-A35A-4F4C-9F92-D0873E5D235E	8429		Trygve Hesthagen	1															Basert på intervjuer.																																		NO	Telemark	Drangedal		Toke								59.011717	9.227963																																																	Carassius carassius (Linnaeus, 1758)								Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Carassius		carassius		SPECIES		karuss					819b724f-d32a-48ac-a62a-9a3425b9b0a0	NO	2017-04-20T10:01Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COORDINATE_ROUNDED		true	false	2366645	1	44	204	1153	7336	2366633		2366645	Carassius carassius	Carassius		DWC_ARCHIVE	2017-04-20T10:01Z	2017-09-29T16:50Z	true
