"species"	"decimalLongitude"	"decimalLatitude"
"Hepatica nobilis"	-80.363982	43.305116
"Hepatica nobilis"	9.69595	45.719754
"Hepatica nobilis"	-72.735224	41.262907
"Hepatica nobilis"	8.187178	45.163909
"Hepatica nobilis"	-88.427528	41.865147
"Hepatica nobilis"	11.125975	46.121252
"Hepatica nobilis"	11.092322	47.497219
"Hepatica nobilis"	-82.032708	39.577255
"Hepatica nobilis"	-85.94307	35.201936
"Hepatica nobilis"	10.664296	59.464625
"Hepatica nobilis"	18.52398	63.226112
"Hepatica nobilis"	10.696105	59.518287
"Hepatica nobilis"	17.639175	59.832889
"Hepatica nobilis"	16.554307	56.631611
"Hepatica nobilis"	15.336793	57.053693
"Hepatica nobilis"	17.666376	59.82357
"Hepatica nobilis"	11.967195	58.374556
"Hepatica nobilis"	18.121023	59.339063
"Hepatica nobilis"	16.206012	58.299571
"Hepatica nobilis"	9.674478	59.055185
"Hepatica nobilis"	10.513262	59.295272
"Hepatica nobilis"	9.652488	59.072276
"Hepatica nobilis"	18.127221	59.338714
"Hepatica nobilis"	17.666367	59.823696
"Hepatica nobilis"	-78.330758	38.926888
"Hepatica nobilis"	9.983714	59.765396
"Hepatica nobilis"	9.97359	59.771226
"Hepatica nobilis"	11.902112	58.406525
"Hepatica nobilis"	9.896174	59.220956
"Hepatica nobilis"	16.143354	58.3091
"Hepatica nobilis"	17.833193	59.255227
"Hepatica nobilis"	9.05447	58.718425
"Hepatica nobilis"	15.307715	59.193607
"Hepatica nobilis"	17.830957	59.254433
"Hepatica nobilis"	17.594502	59.965402
"Hepatica nobilis"	17.707896	59.967461
"Hepatica nobilis"	11.272105	58.654776
"Hepatica nobilis"	17.830957	59.254433
"Hepatica nobilis"	10.698459	59.778502
"Hepatica nobilis"	16.616524	57.715347
"Hepatica nobilis"	10.430644	59.201087
"Hepatica nobilis"	16.55021	59.347271
"Hepatica nobilis"	10.761099	59.8651
"Hepatica nobilis"	16.45613	58.98528
"Hepatica nobilis"	10.726801	59.719501
"Hepatica nobilis"	16.575534	57.819809
"Hepatica nobilis"	14.938327	59.307402
"Hepatica nobilis"	10.660272	59.389764
"Hepatica nobilis"	13.753692	58.466445
"Hepatica nobilis"	16.14198	58.318263
"Hepatica nobilis"	13.423256	55.994742
"Hepatica nobilis"	13.666448	56.341061
"Hepatica nobilis"	17.833193	59.255227
"Hepatica nobilis"	16.065399	58.32367
"Hepatica nobilis"	16.658907	59.097245
"Hepatica nobilis"	-93.375376	34.523533
"Hepatica nobilis"	13.288747	41.905008
"Hepatica nobilis"	16.612006	57.740533
"Hepatica nobilis"	-80.925089	35.357469
"Hepatica nobilis"	-79.053816	35.992987
"Hepatica nobilis"	-81.023988	35.098915
"Hepatica nobilis"	-79.054467	35.993488
"Hepatica nobilis"	10.201267	47.824905
"Hepatica nobilis"	16.604846	57.669034
"Hepatica nobilis"	16.614072	56.784312
"Hepatica nobilis"	16.61364	57.74036
"Hepatica nobilis"	-79.053414	35.994553
"Hepatica nobilis"	9.31096	45.835825
"Hepatica nobilis"	16.481588	56.436044
"Hepatica nobilis"	17.851492	59.356503
"Hepatica nobilis"	9.767015	51.382957
"Hepatica nobilis"	9.843243	52.005535
"Hepatica nobilis"	8.207798	45.16279
"Hepatica nobilis"	14.109218	55.764847
"Hepatica nobilis"	17.666538	59.823565
"Hepatica nobilis"	16.388361	58.934619
"Hepatica nobilis"	9.802079	48.961143
"Hepatica nobilis"	-79.137898	35.896636
"Hepatica nobilis"	-79.000256	35.980396
"Hepatica nobilis"	-81.017293	35.101822
"Hepatica nobilis"	8.657827	50.126633
"Hepatica nobilis"	10.742886	45.201465
"Hepatica nobilis"	11.900198	58.407109
"Hepatica nobilis"	10.117215	45.762324
"Hepatica nobilis"	16.308788	58.947063
"Hepatica nobilis"	11.967195	58.374556
"Hepatica nobilis"	14.225128	56.082442
"Hepatica nobilis"	9.873061	51.413742
"Hepatica nobilis"	17.593658	59.759528
"Hepatica nobilis"	17.45432	59.900853
"Hepatica nobilis"	9.965712	59.183351
"Hepatica nobilis"	17.580928	59.458882
"Hepatica nobilis"	16.323736	58.824338
"Hepatica nobilis"	16.894041	60.262015
"Hepatica nobilis"	-87.89232	41.146745
"Hepatica nobilis"	-79.024367	35.873488
"Hepatica nobilis"	-93.375824	34.523271
"Hepatica nobilis"	16.308914	58.951354
"Hepatica nobilis"	18.090902	59.300028
"Hepatica nobilis"	-92.18537	35.981317
"Hepatica nobilis"	11.410482	58.5021
"Hepatica nobilis"	11.26482	58.665878
"Hepatica nobilis"	16.111545	59.155262
"Hepatica nobilis"	7.775445	45.062654
"Hepatica nobilis"	-82.396738	35.788262
"Hepatica nobilis"	7.774812	45.052834
"Hepatica nobilis"	-80.915787	35.354596
"Hepatica nobilis"	9.965694	59.182633
"Hepatica nobilis"	11.902112	58.406525
"Hepatica nobilis"	-92.191022	35.980803
"Hepatica nobilis"	16.700552	59.050071
"Hepatica nobilis"	-80.134345	40.273092
"Hepatica nobilis"	12.854519	47.60651
"Hepatica nobilis"	13.494609	57.909923
"Hepatica nobilis"	18.321778	62.846931
"Hepatica nobilis"	-78.849489	36.068602
"Hepatica nobilis"	-80.469388	40.792691
