"name"	"key"	"decimalLatitude"	"decimalLongitude"	"issues"	"datasetKey"	"publishingOrgKey"	"publishingCountry"	"protocol"	"lastCrawled"	"lastParsed"	"crawlId"	"extensions"	"basisOfRecord"	"taxonKey"	"kingdomKey"	"phylumKey"	"classKey"	"orderKey"	"familyKey"	"genusKey"	"speciesKey"	"scientificName"	"kingdom"	"phylum"	"order"	"family"	"genus"	"species"	"genericName"	"specificEpithet"	"taxonRank"	"dateIdentified"	"coordinateUncertaintyInMeters"	"year"	"month"	"day"	"eventDate"	"modified"	"lastInterpreted"	"references"	"license"	"identifiers"	"facts"	"relations"	"geodeticDatum"	"class"	"countryCode"	"country"	"rightsHolder"	"identifier"	"verbatimEventDate"	"datasetName"	"collectionCode"	"verbatimLocality"	"gbifID"	"occurrenceID"	"taxonID"	"recordedBy"	"catalogNumber"	"http...unknown.org.occurrenceDetails"	"institutionCode"	"rights"	"eventTime"	"identificationID"	"individualCount"	"coordinatePrecision"	"elevation"	"elevationAccuracy"	"stateProvince"	"habitat"	"municipality"	"county"	"locality"	"continent"	"identificationVerificationStatus"	"language"	"type"	"occurrenceStatus"	"vernacularName"	"taxonConceptID"	"informationWithheld"	"endDayOfYear"	"startDayOfYear"	"datasetID"	"accessRights"	"higherClassification"	"scientificNameID"	"originalNameUsage"	"infraspecificEpithet"	"occurrenceRemarks"	"institutionID"	"ownerInstitutionCode"	"samplingProtocol"	"fieldNotes"
"Corynephorus canescens"	1805376100	56.223074	10.595521	"cdround,gass84"	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"US"	"DWC_ARCHIVE"	"2018-02-01T17:54:57.589+0000"	"2018-01-25T15:11:25.339+0000"	97	"none"	"HUMAN_OBSERVATION"	5290194	6	7707728	196	1369	3073	2706183	5290194	"Corynephorus canescens (L.) P.Beauv."	"Plantae"	"Tracheophyta"	"Poales"	"Poaceae"	"Corynephorus"	"Corynephorus canescens"	"Corynephorus"	"canescens"	"SPECIES"	"2018-01-01T14:43:39.000+0000"	4	2018	1	1	"2018-01-01T14:22:39.000+0000"	"2018-01-13T21:29:40.000+0000"	"2018-01-25T15:13:15.939+0000"	"https://www.inaturalist.org/observations/9331969"	"http://creativecommons.org/licenses/by-nc/4.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Liliopsida"	"DK"	"Denmark"	"Oskar Liset Pryds Hansen"	"9331969"	"2018-01-01 2:22:39 PM CET"	"iNaturalist research-grade observations"	"Observations"	"Fugls<U+00F8>vej 38, 8400 Ebeltoft, Danmark"	"1805376100"	"https://www.inaturalist.org/observations/9331969"	"160927"	"Oskar Liset Pryds Hansen"	"9331969"	"https://www.inaturalist.org/observations/9331969"	"iNaturalist"	"<U+00A9> Oskar Liset Pryds Hansen some rights reserved"	"13:22:39Z"	"20293005"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Molinia caerulea"	1797651216	59.168032	11.062959	"cdround,gass84"	"b124e1e0-4755-430f-9eab-894f25a9b59c"	"d3978a37-635a-4ae3-bb85-7b4d41bc0b88"	"NO"	"DWC_ARCHIVE"	"2017-12-21T06:58:21.544+0000"	"2017-12-21T06:58:21.565+0000"	20	"none"	"HUMAN_OBSERVATION"	5289877	6	7707728	196	1369	3073	2703905	5289877	"Molinia caerulea (L.) Moench"	"Plantae"	"Tracheophyta"	"Poales"	"Poaceae"	"Molinia"	"Molinia caerulea"	"Molinia"	"caerulea"	"SPECIES"	NA	NA	2017	1	28	"2017-01-28T00:00:00.000+0000"	"2017-01-29T16:07:45.000+0000"	"2017-12-21T06:58:24.058+0000"	NA	"http://creativecommons.org/licenses/by/4.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Liliopsida"	"NO"	"Norway"	NA	"NBF:SO2-Vascular:16263150"	NA	NA	"SO2-Vascular"	NA	"1797651216"	"NBF:SO2-Vascular:16263150"	NA	"Bj<U+00F8>rn Petter L<U+00F8>fall"	"16263150"	NA	"NBF"	NA	NA	NA	0	10	0	0	"<U+00D8>stfold"	"Myr-_og_sumpskogsmark"	"Fredrikstad"	"<U+00D8>stfold"	"Moltemyr, Fredrikstad, <U+00D8>s"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Dactylis glomerata"	1433977211	58.98528	16.45613	"gass84,rdatm"	"38b4c89f-584c-41bb-bd8f-cd1def33e92f"	"b8323864-602a-4a7d-9127-bb903054e97d"	"SE"	"DWC_ARCHIVE"	"2018-02-01T01:45:24.904+0000"	"2017-10-27T18:41:00.229+0000"	138	"none"	"HUMAN_OBSERVATION"	2705308	6	7707728	196	1369	3073	2705307	2705308	"Dactylis glomerata L."	"Plantae"	"Tracheophyta"	"Poales"	"Poaceae"	"Dactylis"	"Dactylis glomerata"	"Dactylis"	"glomerata"	"SPECIES"	NA	100	2017	1	21	"2017-01-21T00:00:00.000+0000"	"2017-01-22T19:23:51.000+0000"	"2017-10-27T18:41:09.530+0000"	NA	"http://creativecommons.org/publicdomain/zero/1.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Liliopsida"	"SE"	"Sweden"	"Bo Karlsson"	"urn:lsid:artportalen.se:Sighting:62922562"	NA	NA	"Artportalen"	NA	"1433977211"	"urn:lsid:artportalen.se:Sighting:62922562"	"urn:lsid:dyntaxa.se:Taxon:221193"	"Bo Karlsson, H<U+00E5>kan Lernefalk"	"103782002"	NA	"ArtDatabanken"	NA	"00:00:00 - 00:00:00"	NA	0	NA	NA	NA	NA	"Ekhage med gamla grova ekar"	"Katrineholm"	"S<U+00F6>dermanland"	"Dag<U+00F6>holm 500 m sv"	"EUROPE"	"Unvalidated"	"Swedish"	"Occurrence"	"Present"	"hund<U+00E4>xing"	"urn:lsid:dyntaxa.se:Taxon:221193"	"More information can be obtained from the Data Provider."	"21"	"21"	"urn:lsid:swedishlifewatch.se:DataProvider:1"	"Free usage"	"Biota;Plantae;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Euphyllophytina;Spermatophytae;Angiospermae;Liliopsida;Poales;Poaceae"	NA	NA	NA	NA	NA	NA	NA	NA
"Dactylis glomerata"	1433736300	60.635026	16.779236	"gass84,rdatm"	"38b4c89f-584c-41bb-bd8f-cd1def33e92f"	"b8323864-602a-4a7d-9127-bb903054e97d"	"SE"	"DWC_ARCHIVE"	"2018-02-01T01:29:21.793+0000"	"2017-10-27T18:30:46.794+0000"	138	"none"	"HUMAN_OBSERVATION"	2705308	6	7707728	196	1369	3073	2705307	2705308	"Dactylis glomerata L."	"Plantae"	"Tracheophyta"	"Poales"	"Poaceae"	"Dactylis"	"Dactylis glomerata"	"Dactylis"	"glomerata"	"SPECIES"	NA	500	2017	1	1	"2017-01-01T00:00:00.000+0000"	"2017-01-01T12:12:39.000+0000"	"2017-10-27T18:30:51.253+0000"	NA	"http://creativecommons.org/publicdomain/zero/1.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Liliopsida"	"SE"	"Sweden"	"S<U+00F6>ren Rene Johansson"	"urn:lsid:artportalen.se:Sighting:62637680"	NA	NA	"Artportalen"	NA	"1433736300"	"urn:lsid:artportalen.se:Sighting:62637680"	"urn:lsid:dyntaxa.se:Taxon:221193"	"S<U+00F6>ren Rene Johansson"	"103519926"	NA	"ArtDatabanken"	NA	"08:25:00 - 09:40:00"	NA	0	NA	NA	NA	NA	NA	"Sandviken"	"G<U+00E4>strikland"	"Fisk<U+00E4>ngstj<U+00E4>rn, Sandviken"	"EUROPE"	"Unvalidated"	"Swedish"	"Occurrence"	"Present"	"hund<U+00E4>xing"	"urn:lsid:dyntaxa.se:Taxon:221193"	"More information can be obtained from the Data Provider."	"1"	"1"	"urn:lsid:swedishlifewatch.se:DataProvider:1"	"Free usage"	"Biota;Plantae;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Euphyllophytina;Spermatophytae;Angiospermae;Liliopsida;Poales;Poaceae"	NA	NA	NA	NA	NA	NA	NA	NA
"Deschampsia flexuosa"	1433753686	55.59249	14.313414	"cdround,gass84,rdatm"	"38b4c89f-584c-41bb-bd8f-cd1def33e92f"	"b8323864-602a-4a7d-9127-bb903054e97d"	"SE"	"DWC_ARCHIVE"	"2018-02-01T01:29:23.791+0000"	"2017-10-27T18:30:48.488+0000"	138	"none"	"HUMAN_OBSERVATION"	4149465	6	7707728	196	1369	3073	2703131	2703179	"Avenella flexuosa (L.) Drejer"	"Plantae"	"Tracheophyta"	"Poales"	"Poaceae"	"Deschampsia"	"Deschampsia flexuosa"	"Avenella"	"flexuosa"	"SPECIES"	NA	1000	2017	1	1	"2017-01-01T00:00:00.000+0000"	"2017-01-01T18:34:08.000+0000"	"2017-10-27T18:30:53.252+0000"	NA	"http://creativecommons.org/publicdomain/zero/1.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Liliopsida"	"SE"	"Sweden"	"Johan Niss"	"urn:lsid:artportalen.se:Sighting:62656429"	NA	NA	"Artportalen"	NA	"1433753686"	"urn:lsid:artportalen.se:Sighting:62656429"	"urn:lsid:dyntaxa.se:Taxon:222416"	"Johan Niss"	"103522273"	NA	"ArtDatabanken"	NA	"00:00:00 - 00:00:00"	NA	0	NA	NA	NA	NA	NA	"Simrishamn"	"Sk<U+00E5>ne"	"Baskem<U+00F6>lla"	"EUROPE"	"Unvalidated"	"Swedish"	"Occurrence"	"Present"	"krust<U+00E5>tel"	"urn:lsid:dyntaxa.se:Taxon:222416"	"More information can be obtained from the Data Provider."	"1"	"1"	"urn:lsid:swedishlifewatch.se:DataProvider:1"	"Free usage"	"Biota;Plantae;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Euphyllophytina;Spermatophytae;Angiospermae;Liliopsida;Poales;Poaceae"	"urn:lsid:dyntaxa.se:TaxonName:90619"	"Aira flexuosa L."	NA	NA	NA	NA	NA	NA
"Phragmites australis"	1433755343	59.855015	17.552605	"gass84,rdatm"	"38b4c89f-584c-41bb-bd8f-cd1def33e92f"	"b8323864-602a-4a7d-9127-bb903054e97d"	"SE"	"DWC_ARCHIVE"	"2018-02-01T01:29:23.804+0000"	"2017-10-27T18:30:49.124+0000"	138	"none"	"HUMAN_OBSERVATION"	5290149	6	7707728	196	1369	3073	2705783	5290149	"Phragmites australis (Cav.) Trin. ex Steud."	"Plantae"	"Tracheophyta"	"Poales"	"Poaceae"	"Phragmites"	"Phragmites australis"	"Phragmites"	"australis"	"SPECIES"	NA	50	2017	1	1	"2017-01-01T00:00:00.000+0000"	"2017-01-01T19:12:12.000+0000"	"2017-10-27T18:30:53.937+0000"	NA	"http://creativecommons.org/publicdomain/zero/1.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Liliopsida"	"SE"	"Sweden"	"<U+00C5>ke Berg"	"urn:lsid:artportalen.se:Sighting:62658207"	NA	NA	"Artportalen"	NA	"1433755343"	"urn:lsid:artportalen.se:Sighting:62658207"	"urn:lsid:dyntaxa.se:Taxon:219733"	"<U+00C5>ke Berg"	"103522384"	NA	"ArtDatabanken"	NA	"00:00:00 - 00:00:00"	NA	0	NA	NA	NA	NA	NA	"Uppsala"	"Uppland"	"Infarten Tippen Stenhagen"	"EUROPE"	"Unvalidated"	"Swedish"	"Occurrence"	"Present"	"vass"	"urn:lsid:dyntaxa.se:Taxon:219733"	"More information can be obtained from the Data Provider."	"1"	"1"	"urn:lsid:swedishlifewatch.se:DataProvider:1"	"Free usage"	"Biota;Plantae;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Euphyllophytina;Spermatophytae;Angiospermae;Liliopsida;Poales;Poaceae"	NA	NA	NA	NA	NA	NA	NA	NA
"Phragmites australis"	1433896613	59.322663	14.582559	"cdround,gass84,rdatm"	"38b4c89f-584c-41bb-bd8f-cd1def33e92f"	"b8323864-602a-4a7d-9127-bb903054e97d"	"SE"	"DWC_ARCHIVE"	"2018-02-01T01:39:09.488+0000"	"2017-10-27T18:35:49.311+0000"	138	"none"	"HUMAN_OBSERVATION"	5290149	6	7707728	196	1369	3073	2705783	5290149	"Phragmites australis (Cav.) Trin. ex Steud."	"Plantae"	"Tracheophyta"	"Poales"	"Poaceae"	"Phragmites"	"Phragmites australis"	"Phragmites"	"australis"	"SPECIES"	NA	1500	2017	1	13	"2017-01-13T00:00:00.000+0000"	"2017-01-14T10:05:03.000+0000"	"2017-10-27T18:36:06.731+0000"	NA	"http://creativecommons.org/publicdomain/zero/1.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Liliopsida"	"SE"	"Sweden"	"Malin Bj<U+00F6>rn"	"urn:lsid:artportalen.se:Sighting:62824522"	NA	NA	"Artportalen"	NA	"1433896613"	"urn:lsid:artportalen.se:Sighting:62824522"	"urn:lsid:dyntaxa.se:Taxon:219733"	"Malin Bj<U+00F6>rn"	"103690017"	NA	"ArtDatabanken"	NA	"00:00:00 - 00:00:00"	NA	0	NA	NA	NA	NA	NA	"Karlskoga"	"V<U+00E4>rmland"	"M<U+00F6>keln/Svart<U+00E4>lven"	"EUROPE"	"Unvalidated"	"Swedish"	"Occurrence"	"Present"	"vass"	"urn:lsid:dyntaxa.se:Taxon:219733"	"More information can be obtained from the Data Provider."	"13"	"13"	"urn:lsid:swedishlifewatch.se:DataProvider:1"	"Free usage"	"Biota;Plantae;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Euphyllophytina;Spermatophytae;Angiospermae;Liliopsida;Poales;Poaceae"	NA	NA	NA	NA	NA	NA	NA	NA
"Danthonia decumbens"	1425344292	59.3451	10.658996	"cdround,gass84"	"b124e1e0-4755-430f-9eab-894f25a9b59c"	"d3978a37-635a-4ae3-bb85-7b4d41bc0b88"	"NO"	"DWC_ARCHIVE"	"2017-12-21T06:58:17.228+0000"	"2017-01-23T15:08:31.553+0000"	20	"none"	"HUMAN_OBSERVATION"	2703250	6	7707728	196	1369	3073	2703248	2703250	"Danthonia decumbens (L.) DC."	"Plantae"	"Tracheophyta"	"Poales"	"Poaceae"	"Danthonia"	"Danthonia decumbens"	"Danthonia"	"decumbens"	"SPECIES"	NA	NA	2017	1	19	"2017-01-19T00:00:00.000+0000"	"2017-01-19T21:37:59.000+0000"	"2017-09-19T20:19:37.810+0000"	NA	"http://creativecommons.org/licenses/by/4.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Liliopsida"	"NO"	"Norway"	NA	"NBF:SO2-Vascular:16204622"	NA	NA	"SO2-Vascular"	NA	"1425344292"	"NBF:SO2-Vascular:16204622"	NA	"K<U+00E5>re Arnstein Lye"	"16204622"	NA	"NBF"	NA	NA	NA	0	20	0	0	"<U+00D8>stfold"	"mellom strandberg"	"Rygge"	"<U+00D8>stfold"	"Brentetangen, nord for Larkollen, Rygge, <U+00D8>s"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Helictotrichon pratense"	1433941064	59.767834	17.564355	"cdround,gass84,rdatm"	"38b4c89f-584c-41bb-bd8f-cd1def33e92f"	"b8323864-602a-4a7d-9127-bb903054e97d"	"SE"	"DWC_ARCHIVE"	"2018-02-01T01:45:02.640+0000"	"2017-10-27T18:40:26.948+0000"	138	"none"	"HUMAN_OBSERVATION"	9014945	6	7707728	196	1369	3073	8235050	4152360	"Phleum pratense L."	"Plantae"	"Tracheophyta"	"Poales"	"Poaceae"	"Helictotrichon"	"Helictotrichon pratense"	"Phleum"	"pratense"	"SPECIES"	NA	50	2017	1	18	"2017-01-18T00:00:00.000+0000"	"2017-01-18T17:39:11.000+0000"	"2017-10-27T18:40:28.988+0000"	NA	"http://creativecommons.org/publicdomain/zero/1.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Liliopsida"	"SE"	"Sweden"	"Owe Rosengren"	"urn:lsid:artportalen.se:Sighting:62878263"	NA	NA	"Artportalen"	NA	"1433941064"	"urn:lsid:artportalen.se:Sighting:62878263"	"urn:lsid:dyntaxa.se:Taxon:222618"	"Owe Rosengren, Tor Jonzon, <U+00C5>ke Berg"	"103742372"	NA	"ArtDatabanken"	NA	"00:00:00 - 00:00:00"	NA	0	NA	NA	NA	NA	"strand<U+00E4>ng"	"Uppsala"	"Uppland"	"Dalbyviken"	"EUROPE"	"Unvalidated"	"Swedish"	"Occurrence"	"Present"	"timotej"	"urn:lsid:dyntaxa.se:Taxon:222618"	"More information can be obtained from the Data Provider."	"18"	"18"	"urn:lsid:swedishlifewatch.se:DataProvider:1"	"Free usage"	"Biota;Plantae;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Euphyllophytina;Spermatophytae;Angiospermae;Liliopsida;Poales;Poaceae"	NA	NA	NA	NA	NA	NA	NA	NA
"Dactylis glomerata"	1425338634	59.778502	10.698459	"cdround,gass84"	"b124e1e0-4755-430f-9eab-894f25a9b59c"	"d3978a37-635a-4ae3-bb85-7b4d41bc0b88"	"NO"	"DWC_ARCHIVE"	"2017-12-21T06:58:15.062+0000"	"2017-01-23T15:08:25.094+0000"	20	"none"	"HUMAN_OBSERVATION"	2705308	6	7707728	196	1369	3073	2705307	2705308	"Dactylis glomerata L."	"Plantae"	"Tracheophyta"	"Poales"	"Poaceae"	"Dactylis"	"Dactylis glomerata"	"Dactylis"	"glomerata"	"SPECIES"	NA	NA	2017	1	11	"2017-01-11T00:00:00.000+0000"	"2017-01-11T19:13:49.000+0000"	"2017-02-17T20:48:25.375+0000"	NA	"http://creativecommons.org/licenses/by/4.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Liliopsida"	"NO"	"Norway"	NA	"NBF:SO2-Vascular:16156805"	NA	NA	"SO2-Vascular"	NA	"1425338634"	"NBF:SO2-Vascular:16156805"	NA	"John Sandve"	"16156805"	NA	"NBF"	NA	NA	NA	0	NA	0	0	"Akershus"	NA	"Nesodden"	"Akershus"	"Krange 15-70, Nesodden, Ak"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
