"name"	"catalogNumber"	"decimalLongitude"	"decimalLatitude"	"basisOfRecord"	"year"	"municipality"	"taxonKey"	"occurrenceID"	"bio1"	"bio2"	"bio3"	"bio4"	"bio5"	"bio6"	"bio7"	"bio8"	"bio9"	"bio10"	"bio11"	"bio12"	"bio13"	"bio14"	"bio15"	"bio16"	"bio17"	"bio18"	"bio19"
"Hepatica nobilis"	"16187569"	10.664296	59.464625	"HUMAN_OBSERVATION"	2017	"Moss"	5371699	"NBF:SO2-Vascular:16187569"	69	56	22	6967	204	-49	253	121	10	160	-18	741	87	37	26	250	130	214	144
"Hepatica nobilis"	"16099609"	10.696105	59.518287	"HUMAN_OBSERVATION"	2017	"Vestby"	5371699	"NBF:SO2-Vascular:16099609"	63	61	23	7175	205	-59	264	115	5	158	-26	759	87	38	26	256	130	225	146
"Hepatica nobilis"	"16125812"	9.674478	59.055185	"HUMAN_OBSERVATION"	2017	"Porsgrunn"	5371699	"NBF:SO2-Vascular:16125812"	65	57	23	6649	196	-48	244	117	7	152	-16	761	90	39	27	258	132	215	152
"Hepatica nobilis"	"16191018"	10.513262	59.295272	"HUMAN_OBSERVATION"	2017	"T<U+00F8>nsberg"	5371699	"NBF:SO2-Vascular:16191018"	72	51	21	6786	201	-41	242	124	13	161	-11	728	88	37	26	245	133	203	143
"Hepatica nobilis"	"16338326"	9.652488	59.072276	"HUMAN_OBSERVATION"	2017	"Porsgrunn"	5371699	"NBF:SO2-Vascular:16338326"	64	59	23	6619	197	-50	247	117	7	151	-17	774	92	39	27	264	132	218	155
"Hepatica nobilis"	"16099511"	9.983714	59.765396	"HUMAN_OBSERVATION"	2017	"Nedre Eiker"	5371699	"NBF:SO2-Vascular:16099511"	52	69	24	7381	203	-75	278	106	-4	149	-41	738	90	36	28	251	120	230	138
"Hepatica nobilis"	"16214262"	9.97359	59.771226	"HUMAN_OBSERVATION"	2017	"Nedre Eiker"	5371699	"NBF:SO2-Vascular:16214262"	52	69	24	7381	203	-75	278	106	-4	149	-41	738	90	36	28	251	120	230	138
"Hepatica nobilis"	"16252518"	9.896174	59.220956	"HUMAN_OBSERVATION"	2017	"Larvik"	5371699	"NBF:SO2-Vascular:16252518"	61	58	23	6777	195	-54	249	114	3	150	-22	761	89	39	26	256	134	218	150
"Hepatica nobilis"	"16200728"	9.05447	58.718425	"HUMAN_OBSERVATION"	2017	"Ris<U+00F8>r"	5371699	"NBF:SO2-Vascular:16200728"	65	57	24	6283	192	-44	236	77	8	147	-11	887	105	44	27	300	151	236	177
"Hepatica nobilis"	"16156641"	10.698459	59.778502	"HUMAN_OBSERVATION"	2017	"Nesodden"	5371699	"NBF:SO2-Vascular:16156641"	60	65	23	7369	207	-66	273	112	1	157	-33	766	90	38	27	259	129	232	146
"Hepatica nobilis"	"16136388"	10.430644	59.201087	"HUMAN_OBSERVATION"	2017	"N<U+00F8>tter<U+00F8>y"	5371699	"NBF:SO2-Vascular:16136388"	71	51	21	6752	199	-41	240	124	12	160	-11	729	88	37	26	245	134	204	143
"Hepatica nobilis"	"16228538"	10.761099	59.8651	"HUMAN_OBSERVATION"	2017	"Oslo"	5371699	"NBF:SO2-Vascular:16228538"	54	70	24	7559	208	-76	284	106	-4	153	-41	769	92	38	28	260	126	240	145
"Hepatica nobilis"	"16134564"	10.726801	59.719501	"HUMAN_OBSERVATION"	2017	"Frogn"	5371699	"NBF:SO2-Vascular:16134564"	60	65	23	7369	207	-66	273	112	1	157	-33	766	90	38	27	259	129	232	146
"Hepatica nobilis"	"16133753"	10.660272	59.389764	"HUMAN_OBSERVATION"	2017	"Rygge"	5371699	"NBF:SO2-Vascular:16133753"	69	56	22	6967	204	-49	253	121	10	160	-18	741	87	37	26	250	130	214	144
"Hepatica nobilis"	"16323892"	9.965712	59.183351	"HUMAN_OBSERVATION"	2017	"Larvik"	5371699	"NBF:SO2-Vascular:16323892"	61	58	23	6777	195	-54	249	114	3	150	-22	761	89	39	26	256	134	218	150
"Hepatica nobilis"	"16408273"	9.965694	59.182633	"HUMAN_OBSERVATION"	2017	"Larvik"	5371699	"NBF:SO2-Vascular:16408273"	61	58	23	6777	195	-54	249	114	3	150	-22	761	89	39	26	256	134	218	150
"Hepatica nobilis"	"16338097"	10.645656	59.509501	"HUMAN_OBSERVATION"	2017	"Moss"	5371699	"NBF:SO2-Vascular:16338097"	59	61	23	7162	201	-63	264	111	0	153	-30	764	89	38	26	257	131	228	147
"Hepatica nobilis"	"16379629"	10.592898	59.421599	"HUMAN_OBSERVATION"	2017	"Moss"	5371699	"NBF:SO2-Vascular:16379629"	69	56	22	6967	204	-49	253	121	10	160	-18	741	87	37	26	250	130	214	144
"Hepatica nobilis"	"16363930"	9.94409	59.206413	"HUMAN_OBSERVATION"	2017	"Larvik"	5371699	"NBF:SO2-Vascular:16363930"	61	58	23	6777	195	-54	249	114	3	150	-22	761	89	39	26	256	134	218	150
"Hepatica nobilis"	"16336349"	10.652079	59.503488	"HUMAN_OBSERVATION"	2017	"Moss"	5371699	"NBF:SO2-Vascular:16336349"	59	61	23	7162	201	-63	264	111	0	153	-30	764	89	38	26	257	131	228	147
"Hepatica nobilis"	"16359548"	9.663878	59.22519	"HUMAN_OBSERVATION"	2017	"Skien"	5371699	"NBF:SO2-Vascular:16359548"	59	61	24	6821	196	-58	254	111	2	148	-26	770	90	39	27	262	129	223	152
"Hepatica nobilis"	"16602854"	11.043691	59.35485	"HUMAN_OBSERVATION"	2017	"Sarpsborg"	5371699	"NBF:SO2-Vascular:16602854"	61	59	22	7048	199	-59	258	113	2	154	-26	789	91	41	26	262	135	230	157
"Hepatica nobilis"	"16602736"	11.043071	59.355161	"HUMAN_OBSERVATION"	2017	"Sarpsborg"	5371699	"NBF:SO2-Vascular:16602736"	61	59	22	7048	199	-59	258	113	2	154	-26	789	91	41	26	262	135	230	157
"Hepatica nobilis"	"16602836"	11.038714	59.35479	"HUMAN_OBSERVATION"	2017	"Sarpsborg"	5371699	"NBF:SO2-Vascular:16602836"	61	59	22	7048	199	-59	258	113	2	154	-26	789	91	41	26	262	135	230	157
"Hepatica nobilis"	"16512857"	10.448602	59.075143	"HUMAN_OBSERVATION"	2017	"Tj<U+00F8>me"	5371699	"NBF:SO2-Vascular:16512857"	74	47	20	6561	197	-34	231	126	15	161	-5	722	88	37	25	241	137	196	143
"Hepatica nobilis"	"17307629"	8.980054	59.615063	"HUMAN_OBSERVATION"	2017	"Hjartdal"	5371699	"NBF:SO2-Vascular:17307629"	28	71	26	6922	174	-94	268	81	-27	119	-58	841	102	41	27	283	135	257	169
"Hepatica nobilis"	"17067651"	10.904173	60.085302	"HUMAN_OBSERVATION"	2017	"Nittedal"	5371699	"NBF:SO2-Vascular:17067651"	43	72	24	7730	201	-91	292	130	-16	144	-55	802	94	41	27	264	133	252	154
