"name"	"key"	"decimalLatitude"	"decimalLongitude"	"issues"	"datasetKey"	"publishingOrgKey"	"publishingCountry"	"protocol"	"lastCrawled"	"lastParsed"	"crawlId"	"extensions"	"basisOfRecord"	"individualCount"	"taxonKey"	"kingdomKey"	"phylumKey"	"classKey"	"orderKey"	"familyKey"	"genusKey"	"speciesKey"	"scientificName"	"kingdom"	"phylum"	"order"	"family"	"genus"	"species"	"genericName"	"specificEpithet"	"taxonRank"	"coordinatePrecision"	"elevation"	"elevationAccuracy"	"stateProvince"	"year"	"month"	"day"	"eventDate"	"modified"	"lastInterpreted"	"license"	"identifiers"	"facts"	"relations"	"geodeticDatum"	"class"	"countryCode"	"country"	"identifier"	"catalogNumber"	"recordedBy"	"habitat"	"institutionCode"	"locality"	"municipality"	"county"	"collectionCode"	"gbifID"	"occurrenceID"	"fieldNotes"	"coordinateUncertaintyInMeters"	"continent"	"fieldNumber"	"identifiedBy"
"Hepatica nobilis"	1425342402	59.464625	10.664296	"cdround,gass84"	"b124e1e0-4755-430f-9eab-894f25a9b59c"	"d3978a37-635a-4ae3-bb85-7b4d41bc0b88"	"NO"	"DWC_ARCHIVE"	"2017-12-21T06:58:16.555+0000"	"2017-01-23T15:08:29.606+0000"	20	"none"	"HUMAN_OBSERVATION"	0	5371699	6	7707728	220	399	2410	3033655	5371699	"Hepatica nobilis Schreb."	"Plantae"	"Tracheophyta"	"Ranunculales"	"Ranunculaceae"	"Hepatica"	"Hepatica nobilis"	"Hepatica"	"nobilis"	"SPECIES"	8	0	0	"<U+00D8>stfold"	2017	1	8	"2017-01-08T00:00:00.000+0000"	"2017-01-16T20:47:24.000+0000"	"2017-02-18T09:46:01.373+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Magnoliopsida"	"NO"	"Norway"	"NBF:SO2-Vascular:16187569"	"16187569"	"Even W. Hanssen, Reidun Braathen"	"L<U+00E5>gurtskog"	"NBF"	"Kjellandsvik, Moss, <U+00D8>s"	"Moss"	"<U+00D8>stfold"	"SO2-Vascular"	"1425342402"	"NBF:SO2-Vascular:16187569"	NA	NA	NA	NA	NA
"Hepatica nobilis"	1425331726	59.518287	10.696105	"cdround,gass84"	"b124e1e0-4755-430f-9eab-894f25a9b59c"	"d3978a37-635a-4ae3-bb85-7b4d41bc0b88"	"NO"	"DWC_ARCHIVE"	"2017-12-21T06:58:12.078+0000"	"2017-01-23T15:08:16.995+0000"	20	"none"	"HUMAN_OBSERVATION"	0	5371699	6	7707728	220	399	2410	3033655	5371699	"Hepatica nobilis Schreb."	"Plantae"	"Tracheophyta"	"Ranunculales"	"Ranunculaceae"	"Hepatica"	"Hepatica nobilis"	"Hepatica"	"nobilis"	"SPECIES"	10	0	0	"Akershus"	2017	1	2	"2017-01-02T00:00:00.000+0000"	"2017-01-02T14:09:27.000+0000"	"2017-02-18T09:46:01.509+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Magnoliopsida"	"NO"	"Norway"	"NBF:SO2-Vascular:16099609"	"16099609"	"Gunnar Engan"	"L<U+00E5>gurtlauvskog"	"NBF"	"Vestby, NL 95 98 Nordre Brevik, Vestby, Ak"	"Vestby"	"Akershus"	"SO2-Vascular"	"1425331726"	"NBF:SO2-Vascular:16099609"	NA	NA	NA	NA	NA
"Hepatica nobilis"	1425334109	59.055185	9.674478	"cdround,gass84"	"b124e1e0-4755-430f-9eab-894f25a9b59c"	"d3978a37-635a-4ae3-bb85-7b4d41bc0b88"	"NO"	"DWC_ARCHIVE"	"2017-12-21T06:58:13.368+0000"	"2017-01-23T15:08:19.957+0000"	20	"none"	"HUMAN_OBSERVATION"	0	5371699	6	7707728	220	399	2410	3033655	5371699	"Hepatica nobilis Schreb."	"Plantae"	"Tracheophyta"	"Ranunculales"	"Ranunculaceae"	"Hepatica"	"Hepatica nobilis"	"Hepatica"	"nobilis"	"SPECIES"	25	0	0	"Telemark"	2017	1	5	"2017-01-05T00:00:00.000+0000"	"2017-01-05T19:53:24.000+0000"	"2017-02-18T09:46:01.713+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Magnoliopsida"	"NO"	"Norway"	"NBF:SO2-Vascular:16125812"	"16125812"	"Rune Solvang"	NA	"NBF"	"Frierflogene NR (hylla rett vest for dagens tunnel), Porsgrunn, Te"	"Porsgrunn"	"Telemark"	"SO2-Vascular"	"1425334109"	"NBF:SO2-Vascular:16125812"	"Lite.."	NA	NA	NA	NA
"Hepatica nobilis"	1797647093	59.295272	10.513262	"cdround,gass84"	"b124e1e0-4755-430f-9eab-894f25a9b59c"	"d3978a37-635a-4ae3-bb85-7b4d41bc0b88"	"NO"	"DWC_ARCHIVE"	"2017-12-21T06:58:16.842+0000"	"2017-12-21T06:58:16.878+0000"	20	"none"	"HUMAN_OBSERVATION"	0	5371699	6	7707728	220	399	2410	3033655	5371699	"Hepatica nobilis Schreb."	"Plantae"	"Tracheophyta"	"Ranunculales"	"Ranunculaceae"	"Hepatica"	"Hepatica nobilis"	"Hepatica"	"nobilis"	"SPECIES"	8	0	0	"Vestfold"	2017	1	12	"2017-01-12T00:00:00.000+0000"	"2017-01-25T12:18:09.000+0000"	"2017-12-21T06:58:19.166+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Magnoliopsida"	"NO"	"Norway"	"NBF:SO2-Vascular:16191018"	"16191018"	"Per Marstad, Turid Nakling Kristiansen, Elin Kiraly, Linn Evensen"	"edell<U+00F8>vskog"	"NBF"	"Karlsvika, T<U+00F8>nsberg, Ve"	"T<U+00F8>nsberg"	"Vestfold"	"SO2-Vascular"	"1797647093"	"NBF:SO2-Vascular:16191018"	NA	NA	NA	NA	NA
"Hepatica nobilis"	1797659111	59.072276	9.652488	"cdround,gass84"	"b124e1e0-4755-430f-9eab-894f25a9b59c"	"d3978a37-635a-4ae3-bb85-7b4d41bc0b88"	"NO"	"DWC_ARCHIVE"	"2017-12-21T06:58:28.997+0000"	"2017-12-21T06:58:29.027+0000"	20	"none"	"HUMAN_OBSERVATION"	0	5371699	6	7707728	220	399	2410	3033655	5371699	"Hepatica nobilis Schreb."	"Plantae"	"Tracheophyta"	"Ranunculales"	"Ranunculaceae"	"Hepatica"	"Hepatica nobilis"	"Hepatica"	"nobilis"	"SPECIES"	10	0	0	"Telemark"	2017	1	26	"2017-01-26T00:00:00.000+0000"	"2017-02-15T08:31:30.000+0000"	"2017-12-21T06:58:33.642+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Magnoliopsida"	"NO"	"Norway"	"NBF:SO2-Vascular:16338326"	"16338326"	"Rune Solvang"	"Kalkskog"	"NBF"	"Kongekleiv<U+00E5>sen, Porsgrunn, Te"	"Porsgrunn"	"Telemark"	"SO2-Vascular"	"1797659111"	"NBF:SO2-Vascular:16338326"	NA	NA	NA	NA	NA
"Hepatica nobilis"	1425331665	59.765396	9.983714	"cdround,gass84"	"b124e1e0-4755-430f-9eab-894f25a9b59c"	"d3978a37-635a-4ae3-bb85-7b4d41bc0b88"	"NO"	"DWC_ARCHIVE"	"2017-12-21T06:58:12.125+0000"	"2017-01-23T15:08:16.929+0000"	20	"none"	"HUMAN_OBSERVATION"	0	5371699	6	7707728	220	399	2410	3033655	5371699	"Hepatica nobilis Schreb."	"Plantae"	"Tracheophyta"	"Ranunculales"	"Ranunculaceae"	"Hepatica"	"Hepatica nobilis"	"Hepatica"	"nobilis"	"SPECIES"	5	0	0	"Buskerud"	2017	1	2	"2017-01-02T00:00:00.000+0000"	"2017-01-02T13:58:21.000+0000"	"2017-02-18T09:46:01.157+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Magnoliopsida"	"NO"	"Norway"	"NBF:SO2-Vascular:16099511"	"16099511"	"Finn Michelsen"	NA	"NBF"	"Brekke, ovenfor 3, Nedre Eiker, Bu"	"Nedre Eiker"	"Buskerud"	"SO2-Vascular"	"1425331665"	"NBF:SO2-Vascular:16099511"	NA	NA	NA	NA	NA
"Hepatica nobilis"	1425972463	59.771226	9.97359	"cdround,gass84"	"b124e1e0-4755-430f-9eab-894f25a9b59c"	"d3978a37-635a-4ae3-bb85-7b4d41bc0b88"	"NO"	"DWC_ARCHIVE"	"2017-12-21T06:58:17.444+0000"	"2017-01-23T16:51:28.347+0000"	20	"none"	"HUMAN_OBSERVATION"	0	5371699	6	7707728	220	399	2410	3033655	5371699	"Hepatica nobilis Schreb."	"Plantae"	"Tracheophyta"	"Ranunculales"	"Ranunculaceae"	"Hepatica"	"Hepatica nobilis"	"Hepatica"	"nobilis"	"SPECIES"	10	0	0	"Buskerud"	2017	1	21	"2017-01-21T00:00:00.000+0000"	"2017-01-22T00:22:54.000+0000"	"2017-02-18T09:46:02.076+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Magnoliopsida"	"NO"	"Norway"	"NBF:SO2-Vascular:16214262"	"16214262"	"Finn Michelsen"	NA	"NBF"	"Horgenlia 6, Nedre Eiker, Bu"	"Nedre Eiker"	"Buskerud"	"SO2-Vascular"	"1425972463"	"NBF:SO2-Vascular:16214262"	NA	NA	NA	NA	NA
"Hepatica nobilis"	1797650325	59.220956	9.896174	"cdround,gass84"	"b124e1e0-4755-430f-9eab-894f25a9b59c"	"d3978a37-635a-4ae3-bb85-7b4d41bc0b88"	"NO"	"DWC_ARCHIVE"	"2017-12-21T06:58:20.739+0000"	"2017-12-21T06:58:20.766+0000"	20	"none"	"HUMAN_OBSERVATION"	0	5371699	6	7707728	220	399	2410	3033655	5371699	"Hepatica nobilis Schreb."	"Plantae"	"Tracheophyta"	"Ranunculales"	"Ranunculaceae"	"Hepatica"	"Hepatica nobilis"	"Hepatica"	"nobilis"	"SPECIES"	5	0	0	"Vestfold"	2017	1	26	"2017-01-26T00:00:00.000+0000"	"2017-01-27T16:06:32.000+0000"	"2017-12-21T06:58:23.191+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Magnoliopsida"	"NO"	"Norway"	"NBF:SO2-Vascular:16252518"	"16252518"	"Dagny Mandt"	"<U+00C5>pen_grunnlendt_mark Stabil, tilgrodd rasmark"	"NBF"	"Steinstj<U+00F8>nnane, S for, Larvik, Ve"	"Larvik"	"Vestfold"	"SO2-Vascular"	"1797650325"	"NBF:SO2-Vascular:16252518"	NA	NA	NA	NA	NA
"Hepatica nobilis"	1425344068	58.718425	9.05447	"cdround,gass84"	"b124e1e0-4755-430f-9eab-894f25a9b59c"	"d3978a37-635a-4ae3-bb85-7b4d41bc0b88"	"NO"	"DWC_ARCHIVE"	"2017-12-21T06:58:17.198+0000"	"2017-01-23T15:08:31.340+0000"	20	"none"	"HUMAN_OBSERVATION"	1	5371699	6	7707728	220	399	2410	3033655	5371699	"Hepatica nobilis Schreb."	"Plantae"	"Tracheophyta"	"Ranunculales"	"Ranunculaceae"	"Hepatica"	"Hepatica nobilis"	"Hepatica"	"nobilis"	"SPECIES"	0	0	0	"Aust-Agder"	2017	1	18	"2017-01-18T00:00:00.000+0000"	"2017-01-19T18:21:34.000+0000"	"2017-02-18T09:46:01.286+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Magnoliopsida"	"NO"	"Norway"	"NBF:SO2-Vascular:16200728"	"16200728"	"Arild Omberg"	NA	"NBF"	"Hammertjern naturreservat, Ris<U+00F8>r, Aa"	"Ris<U+00F8>r"	"Aust-Agder"	"SO2-Vascular"	"1425344068"	"NBF:SO2-Vascular:16200728"	NA	NA	NA	NA	NA
"Hepatica nobilis"	1425338633	59.778502	10.698459	"cdround,gass84"	"b124e1e0-4755-430f-9eab-894f25a9b59c"	"d3978a37-635a-4ae3-bb85-7b4d41bc0b88"	"NO"	"DWC_ARCHIVE"	"2017-12-21T06:58:15.096+0000"	"2017-01-23T15:08:25.086+0000"	20	"none"	"HUMAN_OBSERVATION"	0	5371699	6	7707728	220	399	2410	3033655	5371699	"Hepatica nobilis Schreb."	"Plantae"	"Tracheophyta"	"Ranunculales"	"Ranunculaceae"	"Hepatica"	"Hepatica nobilis"	"Hepatica"	"nobilis"	"SPECIES"	NA	0	0	"Akershus"	2017	1	11	"2017-01-11T00:00:00.000+0000"	"2017-01-11T19:13:48.000+0000"	"2017-02-18T09:46:01.320+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Magnoliopsida"	"NO"	"Norway"	"NBF:SO2-Vascular:16156641"	"16156641"	"John Sandve"	NA	"NBF"	"Krange 15-70, Nesodden, Ak"	"Nesodden"	"Akershus"	"SO2-Vascular"	"1425338633"	"NBF:SO2-Vascular:16156641"	NA	NA	NA	NA	NA
